Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
killer_16-sol38,baseline,1625.9,,0.0,1625.83,1.323,,1.0,0.0,18877576.0,0.0,1.0,0.000632
blockedqueens_blockedqueens481721301773,2,942.948,0.223,0.0,942.9,1.482,1.0,1.0,0.0,6937946.0,0.0,1.0,0.001848
quasiGroup5NonIdempotent_quasiGroupX_13,baseline,3590.93,,0.0,3590.81,1.887,,0.0,0.0,43152609.0,1.0,0.0,0.003706
pegSolitaireTable_pegSolitaire2_38,2,0.176341,0.066,0.0,0.049576,2.273,0.0,1.0,0.0,63.0,0.0,1.0,0.016521
quasiGroup6_quasiGroupX_18,baseline,3590.31,,0.0,3590.08,3.504,,0.0,0.0,15160077.0,1.0,0.0,0.004771
blockedqueens-strong_blockedqueens281449798544,2,0.877363,0.022,0.0,0.858376,0.794,0.0,1.0,0.0,12491.0,0.0,1.0,0.000661
knights2_12a,2,0.609856,1.338,0.0,0.078794,7.981,1.0,1.0,0.0,126.0,0.0,1.0,0.029231
quasiGroup5NonIdempotent_quasiGroupX_10,2,3590.93,44.82,0.0,3590.86,46.158,1.0,0.0,0.0,28991783.0,1.0,0.0,0.003706
sonet_sonet7-4,2,3591.45,0.027,0.0,3591.44,0.733,0.0,0.0,0.0,1257736621.0,1.0,0.0,0.000569
graphColouring_mulsol_i_4,baseline,1.1761,,0.0,0.02764,2.91,,1.0,0.0,186.0,0.0,1.0,0.004592
golfers3_ord07-15-8-2,baseline,0.368788,,0.0,0.053096,12.919,,1.0,0.0,92.0,0.0,1.0,0.025815
stilllife_mdsl_9,2,3591.02,0.129,0.0,3591.0,1.23,,1.0,0.0,73107184.0,1.0,37.0,0.001981
bpmp_7444,baseline,80.7835,,0.0,80.7677,1.462,,1.0,0.0,8890455.0,0.0,1.0,0.002596
sokoban_New22,baseline,0.043052,,0.0,0.040338,1.196,,1.0,0.0,756.0,0.0,1.0,0.000577
opd_puget14,baseline,3591.27,,0.0,3591.24,3.268,,1.0,0.0,1444385540.0,1.0,12.0,0.005759
golfers3_ord20-6-9-4,2,8.06513,5.633,0.0,6.31485,28.471,1.0,1.0,0.0,87136.0,0.0,1.0,0.172486
Bombastic_Bombastic11,baseline,0.040637,,0.0,0.04064,1.446,,1.0,0.0,1.0,0.0,1.0,0.0
futoshiki_futoshiki1,baseline,0.040444,,0.0,0.040346,0.234,,1.0,0.0,1.0,0.0,1.0,8.1e-05
blockedqueens-strong_blockedqueens561860463594,baseline,0.03129,,0.0,4.5e-05,1.153,,0.0,0.0,0.0,0.0,0.0,0.000142
killer_16-sol84,baseline,3591.95,,0.0,3591.89,1.165,,0.0,0.0,50731200.0,1.0,0.0,0.0
blockedqueens_blockedqueens281449842745,baseline,0.003201,,0.0,4.1e-05,0.655,,0.0,0.0,0.0,0.0,0.0,0.000111
Bombastic_Bombastic79,2,0.034693,0.0,0.0,0.034715,1.214,0.0,1.0,0.0,1.0,0.0,1.0,0.0
blockedqueens_blockedqueens481721301773,baseline,2075.72,,0.0,2075.69,0.864,,1.0,0.0,23888046.0,0.0,1.0,0.0
efpa_21,2,28.2093,4.499,0.0,28.1684,5.947,1.0,1.0,0.0,4865446.0,0.0,1.0,0.006332
waterBucket_waterBucket1,2,0.072241,0.942,0.0,0.039945,1.579,1.0,1.0,0.0,1.0,0.0,1.0,0.004456
pegSolitaireTable_pegSolitaire15,baseline,3.33351,,0.0,3.23856,1.591,,1.0,0.0,18160.0,0.0,1.0,0.01253
blockedqueens_blockedqueens481721271480,baseline,3540.65,,0.0,3540.61,1.054,,1.0,0.0,36694794.0,0.0,1.0,0.00108
blockedqueens-strong_blockedqueens481721243100,baseline,45.7673,,0.0,45.7013,1.397,,0.0,0.0,310114.0,0.0,0.0,0.001577
blackhole_PN-3,2,7.92626,0.241,0.0,1.44185,5.342,1.0,1.0,0.0,9111.0,0.0,1.0,0.011802
quasiGroup6_quasiGroupX_23,baseline,3587.52,,0.0,3586.77,6.932,,0.0,0.0,10741714.0,1.0,0.0,0.009885
Bombastic_Bombastic10,2,0.039558,0.0,0.0,0.039561,1.133,0.0,1.0,0.0,1.0,0.0,1.0,0.0
blackhole_PN-77,baseline,2.50739,,0.0,1.38463,4.1,,1.0,0.0,101285.0,0.0,1.0,0.009366
blockedqueens_blockedqueens561860532671,2,0.010007,0.0,0.0,4.8e-05,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.000104
blackhole_PN-49,2,8.81503,0.271,0.0,0.548193,5.665,1.0,1.0,0.0,9041.0,0.0,1.0,0.011234
pegSolitaireTable_pegSolitaire2_22,2,6.02212,0.038,0.0,5.90755,1.982,0.0,1.0,0.0,23244.0,0.0,1.0,0.016566
knapsack_knapsack_2,2,6.34261,0.003,0.0,6.34259,0.335,0.0,1.0,0.0,1260132.0,0.0,366.0,0.0
killer_16-sol40,baseline,3590.75,,0.0,3590.69,1.255,,0.0,0.0,48546528.0,1.0,0.0,0.0
ramsey1_03-08-01-SAT,2,0.044482,0.0,0.0,0.043967,0.174,0.0,1.0,0.0,1.0,0.0,1.0,7.2e-05
futoshiki_futoshiki20,2,0.042156,0.007,0.0,0.041268,0.322,0.0,1.0,0.0,5.0,0.0,1.0,0.0
blockedqueens_blockedqueens281449799600,baseline,1.75215,,0.0,1.7397,0.75,,0.0,0.0,31856.0,0.0,0.0,0.000256
blackhole_PN-89,baseline,0.000174,,0.0,2e-05,1.472,,0.0,0.0,0.0,0.0,0.0,6e-05
blockedqueens_blockedqueens561860535892,baseline,3590.93,,0.0,3590.87,1.215,,0.0,0.0,31284269.0,1.0,0.0,0.001197
Bombastic_Bombastic32,baseline,0.040795,,0.0,0.040027,1.209,,1.0,0.0,1.0,0.0,1.0,7.7e-05
futoshiki_futoshiki2,2,0.042626,0.0,0.0,0.042628,0.265,0.0,1.0,0.0,1.0,0.0,1.0,0.0
knapsack_items-52,2,2870.03,0.002,0.0,2870.03,0.328,0.0,1.0,0.0,742331786.0,0.0,198.0,0.0
quasiGroup3Idempotent_quasiGroupX_15,baseline,3591.42,,0.0,3591.15,3.71,,0.0,0.0,19774141.0,1.0,0.0,0.009526
futoshiki_futoshiki37,2,0.0,0.0,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens281449801776,2,0.616611,0.186,0.0,0.601422,0.936,1.0,1.0,0.0,8199.0,0.0,1.0,9.2e-05
blockedqueens_blockedqueens501642398261,baseline,1623.81,,0.0,1623.77,1.115,,1.0,0.0,14734445.0,0.0,1.0,0.001141
opd_flener_et_al_tab6_10_15_06,baseline,0.006612,,0.0,0.002996,1.104,,1.0,0.0,1420.0,0.0,5.0,0.000769
blackhole_PN-37,2,12.3135,0.222,0.0,0.235064,5.106,1.0,1.0,0.0,2270.0,0.0,1.0,0.012399
graphColouring_queen6_6,baseline,0.334448,,0.0,0.316851,0.757,,1.0,0.0,5932.0,0.0,5.0,0.001049
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens26,baseline,51.4521,,0.0,51.4487,2.228,,1.0,0.0,9956800.0,0.0,12.0,0.000984
carSequencing_29,baseline,3591.19,,0.0,3591.09,2.199,,0.0,0.0,123504986.0,1.0,0.0,0.004046
blockedqueens_blockedqueens481721281064,baseline,3590.61,,0.0,3590.57,1.185,,0.0,0.0,32952873.0,1.0,0.0,0.001085
blackhole_PN-5,2,0.001263,0.0,0.0,4.7e-05,1.772,0.0,0.0,0.0,0.0,0.0,0.0,0.000135
blockedqueens-strong_blockedqueens481721271480,2,1456.18,0.026,0.0,1456.11,1.371,0.0,1.0,0.0,10438483.0,0.0,1.0,0.002844
sudoku_sudoku33,baseline,0.032907,,0.0,0.032021,0.451,,1.0,0.0,2.0,0.0,1.0,0.000203
quasiGroup3Idempotent_quasiGroupX_12,2,1134.83,6.876,0.0,1134.53,9.04,1.0,1.0,0.0,3286857.0,0.0,1.0,0.010856
solitaireBattleship_solitaire_battleship_meuffels_hertog2easier,2,0.036108,0.0,0.0,0.035348,4.815,0.0,1.0,0.0,1.0,0.0,1.0,1.9e-05
blockedqueens_blockedqueens281449849874,baseline,0.209138,,0.0,0.19825,0.715,,1.0,0.0,3322.0,0.0,1.0,0.0
futoshiki_futoshiki6,2,0.000677,0.0,0.0,1.1e-05,0.246,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-05
blockedqueens-strong_blockedqueens501642421871,2,284.138,0.018,0.0,284.062,1.537,0.0,1.0,0.0,1940551.0,0.0,1.0,0.003257
sudoku_sudoku26,baseline,0.034769,,0.0,0.034772,0.497,,1.0,0.0,1.0,0.0,1.0,0.0
carSequencing_17,2,3590.74,2.899,0.0,3590.55,5.41,1.0,0.0,0.0,97061273.0,1.0,0.0,0.00914
blockedqueens-strong_blockedqueens501642457787,baseline,627.225,,0.0,627.149,1.389,,0.0,0.0,3693141.0,0.0,0.0,0.003777
golfers1_ord15-8-10-3,2,3589.49,66.815,0.0,3583.38,107.107,,0.0,0.0,353022.0,1.0,0.0,0.207986
ramsey1_04-04-02-SAT,baseline,0.03987,,0.0,0.039339,0.278,,1.0,0.0,2.0,0.0,1.0,8e-05
PlottingModelB_7_7_5_seed15_41_5,2,,,0.0,,1200.002,1.0,,1.0,,,,
semigroup_semigroup18,2,1.62969,3.975,0.0,0.392103,25.576,1.0,1.0,0.0,325.0,0.0,1.0,0.077997
ramsey2_02-05-01-SAT,baseline,0.04179,,0.0,0.041247,0.202,,1.0,0.0,1.0,0.0,1.0,7.9e-05
killer_16-sol57,baseline,3590.48,,0.0,3590.4,1.256,,0.0,0.0,51956880.0,1.0,0.0,0.000342
Bombastic_Bombastic63,baseline,0.033754,,0.0,0.033187,1.167,,1.0,0.0,1.0,0.0,1.0,5.9e-05
opd_flener_et_al_tab2_08_14_07,2,0.111856,0.42,0.0,0.0054,1.545,1.0,1.0,0.0,637.0,0.0,5.0,0.015774
golfers3_ord12-7-7-3,2,0.357448,2.678,0.0,0.098077,10.816,1.0,1.0,0.0,1901.0,0.0,1.0,0.028583
AccordionTable_cards_15_04,2,3590.6,0.222,0.0,3590.53,2.026,,0.0,0.0,25307559.0,1.0,0.0,0.002966
molnars_molnars-2-2,baseline,0.0,,0.0,0.0,0.312,,0.0,0.0,0.0,0.0,0.0,0.0
pegSolitaireTable_pegSolitaire50,baseline,0.031651,,0.0,0.000185,1.175,,0.0,0.0,0.0,0.0,0.0,0.000627
golfers1_ord09-19-10-2,2,3.86869,21.078,0.0,0.267763,50.331,1.0,1.0,0.0,3527.0,0.0,1.0,0.28057
killer_16-sol63,2,0.566694,4.642,0.0,0.036531,6.099,1.0,1.0,0.0,3.0,0.0,1.0,0.037696
knapsack_items-88,baseline,7.10777,,0.0,7.10529,0.401,,1.0,0.0,1003182.0,0.0,76.0,0.00049
blockedqueens_blockedqueens281449791905,baseline,0.222095,,0.0,0.211071,0.715,,1.0,0.0,3431.0,0.0,1.0,0.000366
carSequencing_58,baseline,3591.25,,0.0,3591.18,1.789,,0.0,0.0,175232948.0,1.0,0.0,0.001993
graphColouring_mug100_1,baseline,871.14,,0.0,871.138,0.685,,1.0,0.0,267003947.0,0.0,1.0,0.0
blockedqueens-strong_blockedqueens281449843764,2,0.007658,0.0,0.0,4.1e-05,0.701,0.0,0.0,0.0,0.0,0.0,0.0,9.3e-05
carSequencing_74,baseline,3592.19,,0.0,3592.08,2.502,,0.0,0.0,167767955.0,1.0,0.0,0.003921
blackhole_PN-14,2,13.6875,0.236,0.0,1.04461,5.051,1.0,1.0,0.0,9567.0,0.0,1.0,0.012049
blockedqueens_blockedqueens561860441454,baseline,3591.75,,0.0,3591.7,1.341,,0.0,0.0,29916198.0,1.0,0.0,0.001214
blackhole_PN-8,baseline,3592.27,,0.0,3591.8,3.918,,0.0,0.0,271844889.0,1.0,0.0,0.007717
killer_16-sol99,2,3.84161,5.555,0.0,3.16515,7.191,1.0,1.0,0.0,18523.0,0.0,1.0,0.035949
sudoku_sudoku38,baseline,0.038261,,0.0,0.03745,0.456,,1.0,0.0,2.0,0.0,1.0,0.000147
carSequencing_2,2,3590.33,2.127,0.0,3590.24,3.602,1.0,0.0,0.0,82257634.0,1.0,0.0,0.005516
quasiGroup6_quasiGroupX_12,baseline,3590.63,,0.0,3590.59,1.444,,0.0,0.0,28073141.0,1.0,0.0,0.000889
bibd_puget24,2,3591.3,1.255,0.0,3591.11,5.178,1.0,0.0,0.0,77463402.0,1.0,0.0,0.025504
RamseyNumbers_03-08-01-SAT,2,0.042805,0.0,0.0,0.042808,0.165,0.0,1.0,0.0,1.0,0.0,1.0,0.0
sudoku_sudoku4,2,0.036603,0.01,0.0,0.035977,0.491,0.0,1.0,0.0,1.0,0.0,1.0,6.9e-05
opd_flener_et_al_tab7_7_35_10,baseline,0.037062,,0.0,0.03217,1.314,,1.0,0.0,19673.0,0.0,9.0,0.000492
blockedqueens_blockedqueens281449798451,baseline,0.865543,,0.0,0.856072,0.674,,1.0,0.0,17305.0,0.0,1.0,0.0
blackhole_PN-88,baseline,3590.53,,0.0,3589.87,4.13,,0.0,0.0,338713180.0,1.0,0.0,0.008112
knapsack_items-96,2,3591.2,0.004,0.0,3591.2,0.384,0.0,1.0,0.0,553096907.0,1.0,115.0,0.000357
blockedqueens-strong_blockedqueens501642448840,baseline,1421.33,,0.0,1421.26,1.335,,0.0,0.0,9409771.0,0.0,0.0,0.002907
carSequencing_51,2,3590.67,3.864,0.0,3590.41,6.442,1.0,0.0,0.0,73103960.0,1.0,0.0,0.011911
sonet2_sonet2,2,2.80826,0.035,0.0,2.80716,0.606,0.0,1.0,0.0,961167.0,0.0,1.0,0.00023
futoshiki_futoshiki11,baseline,0.000305,,0.0,0.0,0.187,,0.0,0.0,0.0,0.0,0.0,0.0
