Problem,Policy,SolverMemOut,SolverTotalTime,SATClauses,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
knights_10a,2,0.0,1.25,69046.0,0.756,0.0,3.812,1.0,1.0,0.0,0.0,120460.0,16269.0
ramsey1_03-04-02-SAT,2,0.0,0.0,1.0,0.0,0.0,0.243,0.0,1.0,0.0,0.0,0.0,1.0
efpa_4,baseline,0.0,19.21,147488.0,,0.0,5.263,,0.0,0.0,0.0,411525.0,21948.0
molnars_molnars-2-3,2,0.0,0.0,7.0,0.0,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0
sudoku_sudoku11,baseline,0.0,0.0,0.0,,0.0,0.512,,1.0,0.0,0.0,0.0,0.0
AccordionTable_cards_12_05,2,0.0,0.06,45406.0,0.152,0.0,1.513,1.0,1.0,0.0,0.0,4917.0,5864.0
PlottingModelA_7_7_6_seed15_37_6,baseline,0.0,0.33,514751.0,,0.0,43.639,,1.0,0.0,0.0,2822.0,32357.0
blockedqueens_blockedqueens501642410318,baseline,0.0,1.0,28640.0,,0.0,1.437,,1.0,0.0,0.0,51143.0,8176.0
golfers1_ord04-9-5-2,baseline,0.0,0.01,4819.0,,0.0,3.555,,1.0,0.0,0.0,664.0,1449.0
carSequencing_17,baseline,0.0,0.14,231174.0,,0.0,8.027,,1.0,0.0,0.0,3422.0,24789.0
opd_flener_et_al_tab1_10_15_06,2,0.0,0.55,41417.0,0.244,0.0,2.145,1.0,1.0,0.0,0.0,29808.0,6281.0
blockedqueens_blockedqueens281449837905,baseline,0.0,0.05,9811.0,,0.0,1.011,,1.0,0.0,0.0,2438.0,2751.0
opd_puget4,baseline,0.0,2.8200000000000003,46958.0,,0.0,2.56,,1.0,0.0,0.0,200904.0,7219.0
bpmp_8848,baseline,0.0,27.72,56092.0,,0.0,2.427,,1.0,0.0,0.0,505818.0,5693.0
killer_16-sol9,baseline,0.0,0.14,55449.0,,0.0,2.44,,1.0,0.0,0.0,10325.0,9031.0
sedfnofix_26_2_C26_2_5_1,baseline,0.0,81.86,152264.0,,0.0,8.738,,0.0,0.0,0.0,474752.0,44062.0
blockedqueens-strong_blockedqueens281449787798,baseline,0.0,0.02,3186.0,,0.0,1.046,,0.0,0.0,0.0,1167.0,900.0
bpmp_412,baseline,0.0,9.49,56321.0,,0.0,2.609,,1.0,0.0,0.0,328458.0,5805.0
Bombastic_Bombastic61,baseline,0.0,0.0,0.0,,0.0,0.953,,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens481721327521,baseline,0.0,4.49,6502.0,,0.0,1.684,,1.0,0.0,0.0,208183.0,1957.0
carSequencing_63,2,0.0,4.23,8168556.0,3.963,0.0,20.536,1.0,1.0,0.0,0.0,68157.0,32521.0
killer_16-sol79,2,0.0,0.45,547082.0,4.093,0.0,7.997,1.0,1.0,0.0,0.0,14165.0,10229.0
carSequencing_13,baseline,0.0,0.29,239042.0,,0.0,7.613,,1.0,0.0,0.0,54202.0,24257.0
bibd-implied_puget22,baseline,0.0,0.76,81215.0,,0.0,7.604,,1.0,0.0,0.0,58506.0,16001.0
blockedqueens_blockedqueens501642448840,2,0.0,1.94,26674.0,0.207,0.0,1.888,1.0,0.0,0.0,0.0,80738.0,7600.0
blockedqueens-strong_blockedqueens281449798451,2,0.0,0.04,3483.0,0.021,0.0,1.186,0.0,1.0,0.0,0.0,2019.0,1040.0
blockedqueens_blockedqueens501642460296,baseline,0.0,1.1,26026.0,,0.0,1.701,,0.0,0.0,0.0,47704.0,7376.0
nlinkedopt_opt20,2,0.0,3.15,278165.0,0.815,0.0,2.236,1.0,1.0,0.0,0.0,199225.0,1234.0
sonet2_sonet5-4,baseline,0.0,0.8,7937.0,,0.0,1.055,,1.0,0.0,0.0,49845.0,1288.0
