Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes
golfers3_ord22-6-5-5,2,1.239,3.968,0.0,16.291,1.0,1.0,0.0,0.0,263.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens215,2,0.694,0.102,0.0,2.766,1.0,1.0,0.0,0.0,17327.0
Bombastic_Bombastic56,2,0.022,0.175,0.0,1.668,1.0,1.0,0.0,0.0,12.0
sonet_sonet4-4,baseline,3600.006,,0.0,0.703,,1.0,0.0,1.0,69653720.0
graphColouring_queen7_7,baseline,0.031,,0.0,0.688,,1.0,0.0,0.0,208.0
blackhole_PN-23,baseline,5.946,,0.0,5.786,,1.0,0.0,0.0,83688.0
pegSolitaireState_pegSolitaire15,2,1067.864,1.324,0.0,9.264,1.0,1.0,0.0,0.0,619060.0
blackhole_PN-86,baseline,29.834,,0.0,5.492,,1.0,0.0,0.0,223870.0
PlottingModelB_5_5_3_seed15_20_3,baseline,0.027,,0.0,3.118,,1.0,0.0,0.0,34.0
knights_30a,2,2201.387,16.659,0.0,172.539,1.0,0.0,0.0,0.0,0.0
sudoku_sudoku37,2,0.0,0.002,0.0,0.474,0.0,1.0,0.0,0.0,1.0
quasiGroup3Idempotent_quasiGroupX_17,baseline,3600.44,,0.0,6.615,,0.0,0.0,1.0,1261517.0
blockedqueens-strong_blockedqueens281449844405,2,0.088,0.021,0.0,0.836,0.0,0.0,0.0,0.0,1174.0
blackhole_PN-92,baseline,10.132,,0.0,4.264,,1.0,0.0,0.0,119151.0
quasiGroup4Idempotent_quasiGroupX_18,baseline,3600.483,,0.0,7.399,,0.0,0.0,1.0,1043008.0
golfers3_ord07-15-8-2,baseline,0.269,,0.0,12.959,,1.0,0.0,0.0,92.0
quasiGroup4Idempotent_quasiGroupX_21,2,,,0.0,1200.002,1.0,,1.0,,
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens285,baseline,9.214,,0.0,2.059,,1.0,0.0,0.0,93396.0
blockedqueens_blockedqueens501642413357,baseline,28.26,,0.0,1.197,,1.0,0.0,0.0,77001.0
graphColouring_jean,2,0.023,0.013,0.0,0.767,0.0,1.0,0.0,0.0,81.0
futoshiki_futoshiki21,2,0.007,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.0
killer_16-sol92,baseline,0.001,,0.0,0.992,,1.0,0.0,0.0,6.0
sokoban_sokobanMedium1,baseline,0.004,,0.0,0.572,,1.0,0.0,0.0,70.0
blackhole_PN-75,baseline,26.416,,0.0,5.934,,1.0,0.0,0.0,231358.0
solitaireBattleship_solitaire_battleship_meuffels_hertog2hard,2,0.006,0.0,0.0,4.89,0.0,1.0,0.0,0.0,1.0
nlinkedopt_opt20,baseline,0.048,,0.0,1.368,,0.0,0.0,0.0,0.0
sonet_sonet3-4,2,622.508,0.046,0.0,0.714,0.0,1.0,0.0,0.0,11214454.0
blockedqueens_blockedqueens281449842097,baseline,1.119,,0.0,0.783,,0.0,0.0,0.0,5774.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens245,2,243.009,0.136,0.0,2.795,1.0,1.0,0.0,0.0,1137466.0
blockedqueens_blockedqueens281449796859,baseline,0.113,,0.0,0.821,,1.0,0.0,0.0,675.0
blockedqueens_blockedqueens481721262093,baseline,481.468,,0.0,0.872,,0.0,0.0,0.0,905782.0
sonet_sonet4,baseline,32.983,,0.0,0.73,,1.0,0.0,0.0,155116.0
pegSolitaireAction_pegSolitaire5,baseline,154.436,,0.0,18.976,,1.0,0.0,0.0,2497456.0
blockedqueens_blockedqueens561860473904,baseline,202.398,,0.0,1.473,,0.0,0.0,0.0,246487.0
carSequencing_74,2,3602.665,4.473,0.0,9.04,1.0,0.0,0.0,1.0,2173833.0
handball7_20,baseline,20.592,,0.0,9.243,,1.0,0.0,0.0,94725.0
opd_flener_et_al_tab6_10_15_09,2,6.619,0.263,0.0,1.511,1.0,1.0,0.0,0.0,78970.0
RamseyNumbers_04-04-02-SAT,2,0.011,0.0,0.0,0.172,0.0,1.0,0.0,0.0,1.0
blackhole_PN-66,baseline,6.129,,0.0,3.491,,1.0,0.0,0.0,100872.0
blockedqueens-strong_blockedqueens281449837667,baseline,0.263,,0.0,0.762,,0.0,0.0,0.0,2307.0
ramsey2_03-05-02-SAT,baseline,0.0,,0.0,0.25,,1.0,0.0,0.0,1.0
PlottingModelB_7_7_5_seed15_41_5,2,,,0.0,1200.002,1.0,,1.0,,
golfers2_ord02-5-3-2,2,0.004,0.004,0.0,0.88,0.0,1.0,0.0,0.0,4.0
opd_flener_et_al_tab7_15_35_10,2,0.278,0.981,0.0,4.139,1.0,1.0,0.0,0.0,3466.0
pegSolitaireTable_pegSolitaire22,baseline,0.029,,0.0,2.389,,0.0,0.0,0.0,0.0
knights_30b,baseline,20.265,,0.0,206.629,,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens501642407857,2,7.651,0.005,0.0,1.442,0.0,0.0,0.0,0.0,40404.0
handball7_06,2,3.963,0.714,0.0,9.383,1.0,1.0,0.0,0.0,20450.0
blockedqueens_blockedqueens281449841799,2,0.261,0.142,0.0,0.901,1.0,1.0,0.0,0.0,3593.0
blockedqueens_blockedqueens501642453995,2,234.36,0.233,0.0,1.411,1.0,1.0,0.0,0.0,497956.0
knights2_35a,2,966.481,20.195,0.0,900.451,1.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens281449838896,2,0.15,0.144,0.0,0.919,1.0,1.0,0.0,0.0,1478.0
sedfnofix_19_1_C19_3_3_1,baseline,48.74,,0.0,4.135,,0.0,0.0,0.0,64516.0
knights2_06b,baseline,5.433,,0.0,1.551,,1.0,0.0,0.0,35973.0
carSequencing_15,baseline,4.206,,0.0,3.092,,1.0,0.0,0.0,88540.0
blockedqueens-strong_blockedqueens481721302528,2,18.039,0.028,0.0,1.37,0.0,0.0,0.0,0.0,51210.0
carSequencing_46,baseline,134.102,,0.0,4.068,,1.0,0.0,0.0,2518098.0
futoshiki_futoshiki13,2,0.009,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0
waterBucket_waterBucket4,baseline,0.032,,0.0,0.662,,1.0,0.0,0.0,400.0
blackhole_PN-45,2,0.931,0.219,0.0,5.869,1.0,1.0,0.0,0.0,7445.0
pegSolitaireState_pegSolitaire2,2,3.325,1.316,0.0,9.762,1.0,1.0,0.0,0.0,4768.0
blockedqueens-strong_blockedqueens281449800045,baseline,0.006,,0.0,0.839,,1.0,0.0,0.0,49.0
RamseyNumbers_03-05-02-SAT,2,0.001,0.0,0.0,0.178,0.0,1.0,0.0,0.0,1.0
efpa_1,2,0.185,1.431,0.0,3.178,1.0,1.0,0.0,0.0,1703.0
carSequencing_9,baseline,3600.091,,0.0,2.037,,0.0,0.0,1.0,111158371.0
blockedqueens_blockedqueens481721243100,baseline,58.621,,0.0,1.088,,0.0,0.0,0.0,119731.0
sonet_sonet3-4,baseline,502.539,,0.0,0.684,,1.0,0.0,0.0,9046020.0
PlottingModelB_5_5_3_seed15_24_1,baseline,0.01,,0.0,1.394,,1.0,0.0,0.0,13.0
sudoku_sudoku14,baseline,0.001,,0.0,0.62,,1.0,0.0,0.0,4.0
blockedqueens-strong_blockedqueens501642451919,baseline,60.713,,0.0,1.548,,1.0,0.0,0.0,131728.0
Bombastic_Bombastic77,baseline,0.003,,0.0,1.121,,1.0,0.0,0.0,1.0
carSequencing_66,baseline,3600.172,,0.0,4.251,,0.0,0.0,1.0,32174194.0
knapsack_items-93,2,3600.002,0.012,0.0,0.427,0.0,1.0,0.0,1.0,64268931.0
coprime_8,2,0.022,1.392,0.0,5.291,1.0,1.0,0.0,0.0,22.0
blockedqueens-strong_blockedqueens501642452489,baseline,31.76,,0.0,1.426,,1.0,0.0,0.0,97730.0
blockedqueens_blockedqueens481721325949,baseline,122.376,,0.0,0.982,,0.0,0.0,0.0,192926.0
blackhole_PN-96,2,0.979,0.303,0.0,4.921,1.0,1.0,0.0,0.0,8815.0
blockedqueens_blockedqueens281449799600,baseline,0.13,,0.0,0.676,,0.0,0.0,0.0,1678.0
pegSolitaireAction_pegSolitaire13,baseline,6.933,,0.0,19.935,,1.0,0.0,0.0,321544.0
handball7_01,baseline,7.512,,0.0,7.504,,1.0,0.0,0.0,40997.0
pegSolitaireState_pegSolitaire2,baseline,0.789,,0.0,9.837,,1.0,0.0,0.0,5701.0
blockedqueens_blockedqueens281449841619,2,0.724,0.14,0.0,0.912,1.0,1.0,0.0,0.0,9046.0
RamseyNumbers_04-05-02-SAT,2,0.017,0.0,0.0,0.219,0.0,1.0,0.0,0.0,1.0
blackhole_PN-6,2,0.748,0.269,0.0,4.186,1.0,1.0,0.0,0.0,4836.0
sokoban_New40,baseline,0.011,,0.0,0.579,,1.0,0.0,0.0,13.0
knapsack_items-91,baseline,274.737,,0.0,0.405,,1.0,0.0,0.0,4421566.0
blackhole_PN-69,2,0.75,0.24,0.0,5.364,1.0,1.0,0.0,0.0,3645.0
quasiGroup5Idempotent_quasiGroupX_21,baseline,175.86,,0.0,6.219,,0.0,0.0,0.0,522265.0
blackhole_BMS-100,baseline,6.828,,0.0,6.069,,1.0,0.0,0.0,72200.0
bibd-implied_puget15,2,0.568,1.216,0.0,6.584,1.0,1.0,0.0,0.0,3646.0
diet_diet,2,0.003,0.052,0.0,0.29,1.0,1.0,0.0,0.0,9.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens277,baseline,0.38,,0.0,1.821,,1.0,0.0,0.0,9483.0
sonet_sonet5-4,baseline,119.372,,0.0,0.744,,1.0,0.0,0.0,891187.0
Bombastic_Bombastic76,baseline,0.007,,0.0,1.128,,1.0,0.0,0.0,1.0
killer_16-sol6,2,0.215,3.246,0.0,5.06,1.0,1.0,0.0,0.0,416.0
golfers1_ord07-15-8-2,2,,23.205,0.0,1200.004,1.0,,1.0,,
opd_flener_et_al_tab7_4_35_10,2,0.017,0.138,0.0,1.026,1.0,1.0,0.0,0.0,1047.0
sonet2_sonet1-5,baseline,0.016,,0.0,0.612,,1.0,0.0,0.0,686.0
sokoban_New26,baseline,0.009,,0.0,0.399,,1.0,0.0,0.0,11.0
bibd-implied_puget24,baseline,3600.108,,0.0,4.56,,0.0,0.0,1.0,21435355.0
blockedqueens-strong_blockedqueens501642437221,baseline,7.645,,0.0,1.071,,0.0,0.0,0.0,49551.0
quasiGroup6_quasiGroupX_20,2,3600.159,0.912,0.0,5.385,1.0,0.0,0.0,1.0,6936513.0
blackhole_PN-54,baseline,17.386,,0.0,5.718,,1.0,0.0,0.0,176822.0
PlottingModelB_5_5_3_seed15_18_6,2,,,0.0,1200.001,1.0,,1.0,,
