Problem,Policy,Num_cons,thresh_overlap,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
blockedqueens_blockedqueens281449788237,Sets,2,0.75,5.91165,0.018,0.0,5.90199,0.697,0.0,0.0,132098.0,0.0,0.0,0.000382
bpmp_1176,Sets,3,1.0,79.0998,4.046,0.0,79.0263,5.845,1.0,0.0,7491211.0,0.0,1.0,0.007097
ramsey1_03-08-01-SAT,Sets,3,0.25,0.042608,0.003,0.0,0.042612,0.158,1.0,0.0,1.0,0.0,1.0,0.0
opd_flener_et_al_tab7_8_35_10,2,-1,-1.0,111.912,0.212,0.0,111.903,1.624,1.0,0.0,18541891.0,0.0,9.0,0.000697
carSequencing_7,Sets,2,0.5,3591.93,27.576,0.0,3591.4,29.366,0.0,0.0,15940905.0,1.0,0.0,0.024346
golfers3_ord22-6-5-5,Sets,1,0.75,1.00015,64.805,0.0,0.257848,72.414,1.0,0.0,586.0,0.0,1.0,0.078327
AccordionTable_cards_12_02,Sets,1,0.0,103.218,7.857,0.0,91.2807,10.431,0.0,0.0,279197.0,0.0,0.0,0.940381
blockedqueens-strong_blockedqueens281449803244,Sets,3,0.75,2.27075,0.012,0.0,2.25549,0.58,1.0,0.0,46427.0,0.0,1.0,0.001186
blockedqueens-strong_blockedqueens481721243100,Sets,1,0.25,45.9027,0.572,0.0,45.8369,1.969,0.0,0.0,310114.0,0.0,0.0,0.002401
stilllife_mdsl_6,Sets,1,1.0,0.634529,0.899,0.0,0.61316,1.606,1.0,0.0,7851.0,0.0,14.0,0.000862
blockedqueens_blockedqueens281449788307,2,-1,-1.0,0.09615,0.136,0.0,0.081614,0.831,1.0,0.0,707.0,0.0,1.0,0.0
blockedqueens_blockedqueens481721302528,Sets,1,0.0,154.077,1.055,0.0,154.03,2.081,0.0,0.0,1001930.0,0.0,0.0,0.000955
carSequencing_14,Sets,1,0.0,,,0.0,,1200.005,,1.0,,,,
bpmp_1266,Sets,1,0.5,117.68,3.351,0.0,117.632,4.729,1.0,0.0,4483077.0,0.0,1.0,0.005778
sokoban_Medium2,Sets,1,0.75,1.44293,2.689,0.0,0.035111,4.585,1.0,0.0,27.0,0.0,1.0,0.107071
blockedqueens-strong_blockedqueens501642449632,Sets,1,0.25,120.902,0.275,0.0,120.829,1.691,1.0,0.0,857765.0,0.0,1.0,0.002642
graphColouring_miles250,2,-1,-1.0,0.019548,0.011,0.0,0.003739,0.818,1.0,0.0,234.0,0.0,2.0,0.000883
